review_id,hospital_id,hospital_name,rating,review_text
1,1,Metro Cardiology Hospital,4.5,"Best hospital experience ever. Metro Cardiology Hospital is clean, well-organized, and the doctors are extremely knowledgeable. Will definitely come back."
2,1,Metro Cardiology Hospital,3.7,Good infrastructure and skilled doctors at Metro Cardiology Hospital. The pharmacy is well-stocked. Overall a reliable hospital.
3,1,Metro Cardiology Hospital,3.2,"Not great, not terrible. Metro Cardiology Hospital needs improvement in cleanliness and staff behavior. Treatment was acceptable though."
4,1,Metro Cardiology Hospital,1.3,Extremely dissatisfied. Metro Cardiology Hospital has no proper system. Had to wait 4 hours just to see a doctor. The treatment was also subpar.
5,2,Sahyadri Gastroenterology Super Speciality Hospital,4.8,Excellent hospital! Sahyadri Gastroenterology Super Speciality Hospital has top-notch facilities and very caring staff. The Gastroenterology department is outstanding. Highly recommend!
6,2,Sahyadri Gastroenterology Super Speciality Hospital,4.1,Positive experience at Sahyadri Gastroenterology Super Speciality Hospital. Clean environment and professional doctors. Only issue was the billing process which took time.
7,2,Sahyadri Gastroenterology Super Speciality Hospital,2.9,Okay experience. Sahyadri Gastroenterology Super Speciality Hospital is crowded and understaffed. The Gastroenterology department is fine but other areas need work.
8,2,Sahyadri Gastroenterology Super Speciality Hospital,0.4,Terrible hospital. Sahyadri Gastroenterology Super Speciality Hospital overcharges for everything. The Gastroenterology department is poorly managed. Not recommended.
9,3,Mumbai Gynaecology Clinic,4.5,Outstanding care at Mumbai Gynaecology Clinic. The nursing staff was very attentive. The infrastructure is modern and well-maintained. 5 stars!
10,3,Mumbai Gynaecology Clinic,3.8,Satisfied with the care at Mumbai Gynaecology Clinic. The Gynaecology department is good. Staff is polite. Would recommend for most treatments.
11,3,Mumbai Gynaecology Clinic,3.0,Just an average hospital. Mumbai Gynaecology Clinic has good doctors but poor management. Waiting time was too long. Could be better.
12,3,Mumbai Gynaecology Clinic,1.8,Worst hospital experience! Mumbai Gynaecology Clinic has unhelpful staff and incompetent doctors. Completely wasted my time and money.
13,4,Poona Dermatology Medical Center,4.9,"Very impressed with Poona Dermatology Medical Center. From admission to discharge, everything was smooth. The Dermatology team did a fantastic job."
14,4,Poona Dermatology Medical Center,3.6,"Good hospital overall. Poona Dermatology Medical Center has decent facilities and competent doctors. Waiting time could be better, but treatment was effective."
15,4,Poona Dermatology Medical Center,3.1,Just an average hospital. Poona Dermatology Medical Center has good doctors but poor management. Waiting time was too long. Could be better.
16,4,Poona Dermatology Medical Center,0.3,Extremely dissatisfied. Poona Dermatology Medical Center has no proper system. Had to wait 4 hours just to see a doctor. The treatment was also subpar.
17,5,Mumbai Cardiology Healthcare,4.9,Excellent hospital! Mumbai Cardiology Healthcare has top-notch facilities and very caring staff. The Cardiology department is outstanding. Highly recommend!
18,5,Mumbai Cardiology Healthcare,3.9,"Good hospital overall. Mumbai Cardiology Healthcare has decent facilities and competent doctors. Waiting time could be better, but treatment was effective."
19,5,Mumbai Cardiology Healthcare,2.8,Mixed experience at Mumbai Cardiology Healthcare. Treatment was fine but the administrative process was frustrating. Facilities are decent.
20,5,Mumbai Cardiology Healthcare,2.3,Worst hospital experience! Mumbai Cardiology Healthcare has unhelpful staff and incompetent doctors. Completely wasted my time and money.
21,6,National Dermatology Institute,4.7,"Best hospital experience ever. National Dermatology Institute is clean, well-organized, and the doctors are extremely knowledgeable. Will definitely come back."
22,6,National Dermatology Institute,3.7,Positive experience at National Dermatology Institute. Clean environment and professional doctors. Only issue was the billing process which took time.
23,6,National Dermatology Institute,3.0,Okay experience. National Dermatology Institute is crowded and understaffed. The Dermatology department is fine but other areas need work.
24,6,National Dermatology Institute,1.5,"Avoid National Dermatology Institute at all costs. The facilities are dirty, doctors are rushed, and billing is a nightmare. Zero stars!"
25,7,Mumbai Orthopedics Clinic,4.6,Excellent hospital! Mumbai Orthopedics Clinic has top-notch facilities and very caring staff. The Orthopedics department is outstanding. Highly recommend!
26,7,Mumbai Orthopedics Clinic,4.1,Positive experience at Mumbai Orthopedics Clinic. Clean environment and professional doctors. Only issue was the billing process which took time.
27,7,Mumbai Orthopedics Clinic,2.9,Average experience at Mumbai Orthopedics Clinic. The hospital is okay but nothing special. Doctors are competent but staff could be more helpful.
28,7,Mumbai Orthopedics Clinic,1.0,"Avoid Mumbai Orthopedics Clinic at all costs. The facilities are dirty, doctors are rushed, and billing is a nightmare. Zero stars!"
29,8,Metro ENT Clinic,4.7,Exceptional hospital! Metro ENT Clinic provides world-class treatment. The emergency response was quick and efficient. Highly satisfied!
30,8,Metro ENT Clinic,3.7,Good infrastructure and skilled doctors at Metro ENT Clinic. The pharmacy is well-stocked. Overall a reliable hospital.
31,8,Metro ENT Clinic,3.0,Average experience at Metro ENT Clinic. The hospital is okay but nothing special. Doctors are competent but staff could be more helpful.
32,8,Metro ENT Clinic,0.1,Worst hospital experience! Metro ENT Clinic has unhelpful staff and incompetent doctors. Completely wasted my time and money.
33,9,Care General Medicine Clinic,4.8,Excellent hospital! Care General Medicine Clinic has top-notch facilities and very caring staff. The General Medicine department is outstanding. Highly recommend!
34,9,Care General Medicine Clinic,4.1,Positive experience at Care General Medicine Clinic. Clean environment and professional doctors. Only issue was the billing process which took time.
35,9,Care General Medicine Clinic,2.9,"Not great, not terrible. Care General Medicine Clinic needs improvement in cleanliness and staff behavior. Treatment was acceptable though."
36,9,Care General Medicine Clinic,1.4,Worst hospital experience! Care General Medicine Clinic has unhelpful staff and incompetent doctors. Completely wasted my time and money.
37,10,Care Ophthalmology Medical Center,4.9,"Very impressed with Care Ophthalmology Medical Center. From admission to discharge, everything was smooth. The Ophthalmology team did a fantastic job."
38,10,Care Ophthalmology Medical Center,4.4,"Good hospital overall. Care Ophthalmology Medical Center has decent facilities and competent doctors. Waiting time could be better, but treatment was effective."
39,10,Care Ophthalmology Medical Center,2.8,Mixed experience at Care Ophthalmology Medical Center. Treatment was fine but the administrative process was frustrating. Facilities are decent.
40,10,Care Ophthalmology Medical Center,0.0,Extremely dissatisfied. Care Ophthalmology Medical Center has no proper system. Had to wait 4 hours just to see a doctor. The treatment was also subpar.
41,11,City Pulmonology Medical Center,4.8,"Best hospital experience ever. City Pulmonology Medical Center is clean, well-organized, and the doctors are extremely knowledgeable. Will definitely come back."
